empty_slots,free_bikes,id,latitude,longitude,name
2,16,7b8dfa12900bcb02b47a14e4e5010ba3,49.27033,-123.10275,Quebec & 1st
7,7,b30ed0719dd281867a4d39779c78b58a,49.258902,-123.109596,Columbia & 14th
8,6,ace20c241ee38643c9060f290b215b9d,49.265071,-123.123864,7th & Laurel
15,1,3aed670ccdcd94b966c0f505f8b028c7,49.265198,-123.131043,7th &  Alder
3,13,ae69aeab748d02e5a7d89da28a1a8511,49.273691,-123.102232,Science World
3,17,0c9ad3e3703e5869b82619ecdf54f43e,49.2685027,-123.0975014,1st & Scotia
11,7,f3708906ec71348f5a42579fede36a0d,49.288682,-123.11818,Rogers Tower
7,11,9449a6a83fbf88452e384350e5ac95b7,49.271741,-123.155421,York & Yew
12,8,365da33e9ce06ea53db1173a0f8eae71,49.262822,-123.14338,Pine & 10th
8,3,707c1c54e0278fbae5d0ae3c42a25b71,49.263635,-123.099236,8th & Scotia
18,2,5105df3dd0daf4c26980f4134f61e5cc,49.28763,-123.127245,Alberni & Jervis
17,3,82c794442f54fabf9db6e392ca1fac0f,49.297933,-123.130758,Stanley Park - Information Booth
7,7,2ca388bba54706770900ca2a9d7aa5be,49.258819,-123.131317,14th & Alder
8,6,e7bf01431a6982f032996ad50a9e5bd7,49.280284,-123.097052,Pender & Gore
12,6,1648ead5ea617d2cea115869d9516f5e,49.276294,-123.106534,Carrall & Seawall
8,5,91035fe1d70b65c9cb8ec4a007af7c7f,49.277469,-123.081315,Glen & Union
14,7,d3aaff4414a8c3fd5480c470f77ff68a,49.277665,-123.073653,Adanac & McLean
5,11,b307709b305dd04328fbbf2c6db86419,49.277436,-123.070427,Commercial & Adanac
8,8,e9c4bd1fffbb1e5b058b8ea15f7307f6,49.280332,-123.070068,Pender & Commercial
1,12,bb0847559ce71c93d8215c0997ea2811,49.279369,-123.091241,Keefer & Princess
12,8,1ef5c4ff3f0b09422bb1597fd9d7568b,49.283992,-123.091206,Alexander & Railway
4,10,ac3b8198f03754a0afb8b6ed6d220cdd,49.274881,-123.069323,Napier & Commercial
9,5,029a505bd4422a1afd127987757f71a6,49.275882,-123.071865,Britannia Parking Lot
