Name,Rating,Longitude,Latitude,Address,Zipcode,station_id
JOEY Burrard,4.0,-123.12316775322,49.2827851242953,820 Burrard St,V6Z 1X9,0b543fc4e694fe07a54dac48bb1b3390
Thierry,4.0,-123.1228949,49.2848818,1059 Alberni Street,V6E 1A1,0b543fc4e694fe07a54dac48bb1b3390
Le Crocodile Restaurant,4.5,-123.124911131657,49.2822815356982,909 Burrard Street,V6Z 2N2,0b543fc4e694fe07a54dac48bb1b3390
Guu Original Thurlow,4.0,-123.125567978574,49.2839786648396,838 Thurlow Street,V6E 1W2,0b543fc4e694fe07a54dac48bb1b3390
Joe Fortes Seafood & Chop House,4.0,-123.12473,49.28493,777 Thurlow Street,V6E 3V5,0b543fc4e694fe07a54dac48bb1b3390
Bacchus Restaurant & Lounge,4.0,-123.12281,49.28232,845 Hornby Street,V6Z 1T9,0b543fc4e694fe07a54dac48bb1b3390
Boulevard,4.0,-123.123884,49.2827182,845 Burrard Street,V6Z 2K7,0b543fc4e694fe07a54dac48bb1b3390
Black & Blue,3.5,-123.122869190308,49.2845587688053,1032 Alberni Street,V6E 1A3,0b543fc4e694fe07a54dac48bb1b3390
Tendon Kohaku,4.5,-123.12179426645872,49.28107123873706,840 Howe Street,V6Z 2S9,0b543fc4e694fe07a54dac48bb1b3390
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,fbb1d30d7f30b049873f5be5688563d4
Nightingale,4.0,-123.117770967577,49.2874110331456,1017 West Hastings Street,V6E 0C4,fbb1d30d7f30b049873f5be5688563d4
Botanist,4.5,-123.1167271,49.2883099,1038 Canada Place,V6C 0B9,fbb1d30d7f30b049873f5be5688563d4
Cactus Club Cafe,4.0,-123.11881637137162,49.28554081466174,588 Burrard Street,V6C 1A8,fbb1d30d7f30b049873f5be5688563d4
ARC Restaurant,4.0,-123.1137298,49.2872868,900 Canada Place Way,V6C 3L5,fbb1d30d7f30b049873f5be5688563d4
Moose's Down Under,4.0,-123.11634,49.285638,830 Pender Street W,V6C 1J8,fbb1d30d7f30b049873f5be5688563d4
Alouette Bistro,4.5,-123.11829,49.2853,567 Hornby Street,V6C 2E8,fbb1d30d7f30b049873f5be5688563d4
Palate Kitchen,4.0,-123.1157402,49.286331,848 W Hastings Street,V6C 1C8,fbb1d30d7f30b049873f5be5688563d4
Riley's Fish & Steak,4.0,-123.1151089,49.287641996861865,200 Burrard Street,V6C 3L6,fbb1d30d7f30b049873f5be5688563d4
Hawksworth Restaurant,4.0,-123.1191704,49.2833971,801 W Georgia Street,V6C 1P7,fbb1d30d7f30b049873f5be5688563d4
Medina Cafe,4.0,-123.117036269849,49.2804429972571,780 Richards Street,V6B 3A4,7181df50ee1d1a05559399211382b7c8
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,7181df50ee1d1a05559399211382b7c8
Lupo,4.5,-123.1174,49.27823,869 Hamilton Street,V6B 2R7,7181df50ee1d1a05559399211382b7c8
JINYA Ramen Bar - Vancouver,4.0,-123.11793569570304,49.28031515071204,541 Robson St.,V6B 2B7,7181df50ee1d1a05559399211382b7c8
Black Rice Izakaya,4.0,-123.114329,49.278444,782 Cambie Street,V6B 2R5,7181df50ee1d1a05559399211382b7c8
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,7181df50ee1d1a05559399211382b7c8
Maruhachi Ra-Men,4.0,-123.1157914,49.27854065320407,270 Robson Street,V6B 0E7,7181df50ee1d1a05559399211382b7c8
Glowbal,3.0,-123.117092920094,49.2815627886161,590 West Georgia Street,V6E 1A3,7181df50ee1d1a05559399211382b7c8
Chambar,4.0,-123.109925328073,49.2801460007961,568 Beatty Street,V6B 2L3,7181df50ee1d1a05559399211382b7c8
Incognito Coffee,4.5,-123.11969,49.28037,843 Seymour Street,V6B 3L4,7181df50ee1d1a05559399211382b7c8
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,2ef000bc9d4650d8cc6198c4d570b19f
Lupo,4.5,-123.1174,49.27823,869 Hamilton Street,V6B 2R7,2ef000bc9d4650d8cc6198c4d570b19f
Black Rice Izakaya,4.0,-123.114329,49.278444,782 Cambie Street,V6B 2R5,2ef000bc9d4650d8cc6198c4d570b19f
Medina Cafe,4.0,-123.117036269849,49.2804429972571,780 Richards Street,V6B 3A4,2ef000bc9d4650d8cc6198c4d570b19f
Maruhachi Ra-Men,4.0,-123.1157914,49.27854065320407,270 Robson Street,V6B 0E7,2ef000bc9d4650d8cc6198c4d570b19f
Chambar,4.0,-123.109925328073,49.2801460007961,568 Beatty Street,V6B 2L3,2ef000bc9d4650d8cc6198c4d570b19f
District Bar & Restaurant,4.0,-123.114148463454,49.2777057046774,121 Robson Street,V6B 2A8,2ef000bc9d4650d8cc6198c4d570b19f
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,2ef000bc9d4650d8cc6198c4d570b19f
Jam Cafe on Beatty,4.5,-123.1096376,49.2802586,556 Beatty Street,V6B 2L3,2ef000bc9d4650d8cc6198c4d570b19f
Honey Salt,3.5,-123.1128477,49.2753742,39 Smithe Street,V6B 0R3,2ef000bc9d4650d8cc6198c4d570b19f
The Flying Pig,4.0,-123.122,49.27501,1168 Hamilton Street,V6B 2S2,b7683a86874e6300fd89f4cc0b075f57
Lupo,4.5,-123.1174,49.27823,869 Hamilton Street,V6B 2R7,b7683a86874e6300fd89f4cc0b075f57
Robba da Matti,4.0,-123.1208967,49.2753397,1127 Mainland Street,V6B 5P2,b7683a86874e6300fd89f4cc0b075f57
The Parlour,4.0,-123.120221,49.276835,1011 Hamilton Street,V6B 5T4,b7683a86874e6300fd89f4cc0b075f57
Minami,4.0,-123.1207029,49.2752733,1118 Mainland Street,V6B 2T9,b7683a86874e6300fd89f4cc0b075f57
OEB Breakfast Co. Yaletown,4.5,-123.1192724,49.2734341,1137 Marinaside Crescent,V6Z 2Y3,b7683a86874e6300fd89f4cc0b075f57
Blue Water Cafe,4.5,-123.1209935,49.2761945,1095 Hamilton St,V6B 5T4,b7683a86874e6300fd89f4cc0b075f57
Fanny Bay Oyster Bar & Shellfish Market,4.5,-123.1138689,49.2787525,762 Cambie St,V6B 2P2,b7683a86874e6300fd89f4cc0b075f57
WestOak,3.5,-123.1195458,49.2764158,1035 Mainland Street,V6B 1A9,b7683a86874e6300fd89f4cc0b075f57
Rodney's Oyster House,4.0,-123.123131,49.274326,1228 Hamilton Street,V6B 6L2,b7683a86874e6300fd89f4cc0b075f57
Twisted Fork,4.0,-123.104445,49.283194,213 Carral Street,V6B 2J2,3367c1e1dbf73caf7c10e4c96a92f58d
L'Abattoir,4.0,-123.104450140894,49.2831869855333,217 Carrall Street,V6B 2J1,3367c1e1dbf73caf7c10e4c96a92f58d
MeeT in Gastown,4.0,-123.1048494822089,49.28343624826065,12 Water Street,V6B 1A5,3367c1e1dbf73caf7c10e4c96a92f58d
PiDGiN,4.0,-123.104188653967,49.2819071402452,350 Carrall Street,V6B 2J3,3367c1e1dbf73caf7c10e4c96a92f58d
Six Acres,4.0,-123.1044042,49.2833119,203 Carrall Street,V6B 2J2,3367c1e1dbf73caf7c10e4c96a92f58d
Caveman Cafe,4.5,-123.10703500282293,49.280802324947445,88 W Pender Street,V6B 6N8,3367c1e1dbf73caf7c10e4c96a92f58d
Jules French Bistro,4.0,-123.10638,49.28361,216 Abbott Street,V6B 2K8,3367c1e1dbf73caf7c10e4c96a92f58d
Miku,4.5,-123.11276314110472,49.28691753455261,200 Granville Street,V6C 1S4,3367c1e1dbf73caf7c10e4c96a92f58d
La Casita,3.0,-123.1069048188,49.2830484880298,101 W Cordova Street,V6B 1E1,3367c1e1dbf73caf7c10e4c96a92f58d
Kozak Ukrainian Restaurant,4.5,-123.1046559827506,49.28270380943574,1 West Cordova Street,V6B 1C8,3367c1e1dbf73caf7c10e4c96a92f58d
Kingyo,4.5,-123.13705023185994,49.29073911099211,871 Denman Street,V6G 2L9,1d7e73b3321ebb6713774d376247d9f9
Guu with Garlic,4.5,-123.1338142,49.290249,1698 Robson Street,V6G 1C7,1d7e73b3321ebb6713774d376247d9f9
España Restaurant,4.0,-123.1404114,49.2880552,1118 Denman Street,V6G 2M8,1d7e73b3321ebb6713774d376247d9f9
Noah's Cafe,4.5,-123.1400279,49.28827635407216,1096 Denman Street,V6G 2M8,1d7e73b3321ebb6713774d376247d9f9
Café Portrait,4.5,-123.140413686633,49.2881056129168,1120 Denman Street,V6G 1T2,1d7e73b3321ebb6713774d376247d9f9
